Criteria,A-level,B-level,C-or-below-level,Percent of final grade
Attends one-on-one and group meetings,Always attends both on time and prepared,Small number of missed meetings that were clearly articulated in advance,"More than a few missed meetings, or last-minute cancellations for “being busy”",12
Positively contributes to lab culture,Makes self available in person and on Slack to help fellow lab mates,"Helps lab mates, but inconsistently",Does not contribute to helping pilot others’ experiments or other needed tasks,12
Runs experiments in a timely and organized manner,"Is on time to run experiments, has consent and debriefing forms printed and ready, maintains good file structures for projects, files forms promptly after experiment, and does a thorough job cleaning up after the experiment","Either does some (but not all) of the A-level activities, or does each of them in an inconsistent manner",Consistent failure to do one or more of the A-level activities,12
Treats experimental participants in a professional manner,"Thoroughly explains all experimental procedures, attends to participant’s needs, makes efforts to make participant happy and comfortable","Either does some (but not all) of the A-level activities, or does each of them in an inconsistent manner",Consistent failure to do one or more of the A-level activities,12
Clearly and effectively communicates with thesis advisor,"Is proactive about reaching out for help; when asking for help, clearly articulates what the problem is and what steps have been taken to solve it",Is proactive about reaching out for help; working towards clarity in articulating issues,Any of the following: avoids reaching out for help; reaches out for help without attempting to troubleshoot alone; cannot articulate the problem (i.e. “it doesn’t work”),12
Abstract clearly and concisely summarizes the study,"Clearly states problem and question to be resolved; clearly summarizes method, results, and conclusions","Summarizes problem, method, results, and conclusions, but provides more details than skilled overview",Is vague about the problem; does not provide a summary of the whole project,5
Introduction clearly defines problem that is being studied,Demonstrates the ability to construct a clear and insightful problem/topic statement with evidence of all relevant contextual factors,"Begins to demonstrate the ability to construct a problem/topic statement with evidence of most relevant contextual factors, but problem statement is superficial",Demonstrates a limited ability in identifying a problem/topic statement or related contextual factors,5
Introduction contains a complete literature review,Provides background research into the topic and summarizes important findings from the review of the literature; describes the problem to be solved; justifies the study; explains the significance of the problem to an audience of non-specialists,Provides some background research into the topic and describes the problem to be solved,Provides an incomplete background; presents background in a superficial manner; insufficient or nonexistent explanation of details to non-specialists,5
Presentation of empirical findings,Data are analyzed completely and appropriately; statistics are appropriate and reported in correct APA format; figures are clear and contain informative captions,"Data are analyzed and reported appropriately, but some secondary analyses may not have been performed; small issues with choices made in data visualization","Data are either incompletely analyzed, or inappropriately analyzed; major errors exist with reporting statistical tests; plots or graphs are incompletely labeled, or have used default parameters that limit their efficacy",10
Discussion reflects effective synthesis,The writer offers insightful interpretation of the empirical research; writer synthesizes the present results in the context of broader literature; the writer provides specific follow-up ideas for the future and ties this section together with a compelling conclusion,"The writer offers interpretation of the research at a somewhat superficial level; attempts are made to synthesize, but somewhat incompletely; follow-up ideas are not fully formed; paper ends rather than is finished","The writer offers little interpretation beyond rephrasing the results; little to no attempt is made at synthesis; the author offers no follow-up ideas, or ideas that are too general to be relevant; conclusion is absent",10
"Mechanics (style, syntax, diction, etc)","Is free or almost free of errors of grammar, spelling, and writing mechanics; appropriately documents sources in APA style; employs scholarly tone and style","Has errors but they don’t represent a major distraction; documents sources; attempts to employ an effective tone and style for the purpose of the paper, but falls short of that goal",Has errors that obscure meaning of content or add confusion; neglects important sources or documents few to no resources; Tone and style undermine the goals of the thesis,5
